bound_mode,mechanism,oversubscription,n_tenants,seed,valid_throughput_Bpns,admission_p99_ns,pinned_peak,reclaimable_capacity_frac,rpe_payload_frac,stale_admits,stale_admit_rate,retries,retries_per_descriptor,evict_fired,evict_blocked
capacity,PROSE,2,16,0,2.097152,9.0,32,0.9375,0.0,0,0.0,0,0.0,0,2199
capacity,REFCNT,2,16,0,2.0971493785632767,294.7142857142857,64,0.875,0.0,0,0.0,0,0.0,0,2199
capacity,REFCNT_S,2,16,0,1.729165198543502,525.6666666666667,32,0.9375,0.17546875,1123,0.17546875,1090,0.1703125,0,2199
capacity,2PHASE,2,16,0,2.0971153004822414,4009.0,64,0.875,0.0,0,0.0,0,0.0,0,2199
capacity,GENONLY,2,16,0,1.73686784,9.0,32,0.9375,0.171796875,0,0.0,0,0.0,2199,0
capacity,RECLAIM_DEFER,2,16,0,1.73686784,9.0,64,0.875,0.171796875,0,0.0,0,0.0,2199,0
capacity,PROSE_HOSTSEL,2,16,0,2.097152,9.0,32,0.9375,0.0,0,0.0,0,0.0,0,2199
capacity,PROSE,2,16,1,2.097152,9.0,32,0.9375,0.0,0,0.0,0,0.0,0,2222
capacity,REFCNT,2,16,1,2.0971493785632767,294.7142857142857,64,0.875,0.0,0,0.0,0,0.0,0,2222
capacity,REFCNT_S,2,16,1,1.720317849602688,525.6666666666667,32,0.9375,0.1796875,1150,0.1796875,1107,0.17296875,0,2222
capacity,2PHASE,2,16,1,2.0971153004822414,4009.0,64,0.875,0.0,0,0.0,0,0.0,0,2222
capacity,GENONLY,2,16,1,1.73309952,9.0,32,0.9375,0.17359375,0,0.0,0,0.0,2222,0
capacity,RECLAIM_DEFER,2,16,1,1.73309952,9.0,64,0.875,0.17359375,0,0.0,0,0.0,2222,0
capacity,PROSE_HOSTSEL,2,16,1,2.097152,9.0,32,0.9375,0.0,0,0.0,0,0.0,0,2222
capacity,PROSE,2,16,2,2.097152,9.0,32,0.9375,0.0,0,0.0,0,0.0,0,2214
capacity,REFCNT,2,16,2,2.0971493785632767,294.7142857142857,64,0.875,0.0,0,0.0,0,0.0,0,2214
capacity,REFCNT_S,2,16,2,1.7426000617499229,525.6666666666667,32,0.9375,0.1690625,1082,0.1690625,1137,0.17765625,0,2214
capacity,2PHASE,2,16,2,2.0971153004822414,4009.0,64,0.875,0.0,0,0.0,0,0.0,0,2214
capacity,GENONLY,2,16,2,1.73441024,9.0,32,0.9375,0.17296875,0,0.0,0,0.0,2214,0
capacity,RECLAIM_DEFER,2,16,2,1.73441024,9.0,64,0.875,0.17296875,0,0.0,0,0.0,2214,0
capacity,PROSE_HOSTSEL,2,16,2,2.097152,9.0,32,0.9375,0.0,0,0.0,0,0.0,0,2214
capacity,PROSE,2,16,3,2.097152,9.0,32,0.9375,0.0,0,0.0,0,0.0,0,2293
capacity,REFCNT,2,16,3,2.0971493785632767,294.7142857142857,64,0.875,0.0,0,0.0,0,0.0,0,2293
capacity,REFCNT_S,2,16,3,1.7308035964955044,525.6666666666667,32,0.9375,0.1746875,1118,0.1746875,1147,0.17921875,0,2293
capacity,2PHASE,2,16,3,2.0971153004822414,4009.0,64,0.875,0.0,0,0.0,0,0.0,0,2293
capacity,GENONLY,2,16,3,1.72146688,9.0,32,0.9375,0.179140625,0,0.0,0,0.0,2293,0
capacity,RECLAIM_DEFER,2,16,3,1.72146688,9.0,64,0.875,0.179140625,0,0.0,0,0.0,2293,0
capacity,PROSE_HOSTSEL,2,16,3,2.097152,9.0,32,0.9375,0.0,0,0.0,0,0.0,0,2293
capacity,PROSE,2,16,4,2.097152,9.0,32,0.9375,0.0,0,0.0,0,0.0,0,2214
capacity,REFCNT,2,16,4,2.0971493785632767,294.7142857142857,64,0.875,0.0,0,0.0,0,0.0,0,2214
capacity,REFCNT_S,2,16,4,1.7360464699419125,525.6666666666667,32,0.9375,0.1721875,1102,0.1721875,1117,0.17453125,0,2214
capacity,2PHASE,2,16,4,2.0971153004822414,4009.0,64,0.875,0.0,0,0.0,0,0.0,0,2214
capacity,GENONLY,2,16,4,1.73441024,9.0,32,0.9375,0.17296875,0,0.0,0,0.0,2214,0
capacity,RECLAIM_DEFER,2,16,4,1.73441024,9.0,64,0.875,0.17296875,0,0.0,0,0.0,2214,0
capacity,PROSE_HOSTSEL,2,16,4,2.097152,9.0,32,0.9375,0.0,0,0.0,0,0.0,0,2214
capacity,PROSE,2,16,5,2.097152,9.0,32,0.9375,0.0,0,0.0,0,0.0,0,2253
capacity,REFCNT,2,16,5,2.0971493785632767,294.7142857142857,64,0.875,0.0,0,0.0,0,0.0,0,2253
capacity,REFCNT_S,2,16,5,1.7481706147867315,525.6666666666667,32,0.9375,0.16640625,1065,0.16640625,1103,0.17234375,0,2253
capacity,2PHASE,2,16,5,2.0971153004822414,4009.0,64,0.875,0.0,0,0.0,0,0.0,0,2253
