bound_mode,mechanism,oversubscription,n_tenants,seed,valid_throughput_Bpns,admission_p99_ns,pinned_peak,reclaimable_capacity_frac,rpe_payload_frac,stale_admits,stale_admit_rate,retries,retries_per_descriptor,evict_fired,evict_blocked
capacity,PROSE,2,16,0,2.097152,9.0,32,0.9375,0.0,0,0.0,0,0.0,0,2199
capacity,GENONLY,2,16,0,1.73686784,9.0,32,0.9375,0.171796875,0,0.0,0,0.0,2199,0
capacity,GENONLY_EF,2,16,0,1.7585926446309699,9.0,32,0.9375,0.16143768089725036,0,0.0,0,0.0,2199,0
capacity,PROSE,2,16,1,2.097152,9.0,32,0.9375,0.0,0,0.0,0,0.0,0,2222
capacity,GENONLY,2,16,1,1.73309952,9.0,32,0.9375,0.17359375,0,0.0,0,0.0,2222,0
capacity,GENONLY_EF,2,16,1,1.7550515508731306,9.0,32,0.9375,0.16312620598166908,0,0.0,0,0.0,2222,0
capacity,PROSE,2,16,2,2.097152,9.0,32,0.9375,0.0,0,0.0,0,0.0,0,2214
capacity,GENONLY,2,16,2,1.73441024,9.0,32,0.9375,0.17296875,0,0.0,0,0.0,2214,0
capacity,GENONLY_EF,2,16,2,1.756283235658466,9.0,32,0.9375,0.16253889290882778,0,0.0,0,0.0,2214,0
capacity,PROSE,2,16,3,2.097152,9.0,32,0.9375,0.0,0,0.0,0,0.0,0,2293
capacity,GENONLY,2,16,3,1.72146688,9.0,32,0.9375,0.179140625,0,0.0,0,0.0,2293,0
capacity,GENONLY_EF,2,16,3,1.7441203484032803,9.0,32,0.9375,0.16833860950313553,0,0.0,0,0.0,2293,0
capacity,PROSE,2,16,4,2.097152,9.0,32,0.9375,0.0,0,0.0,0,0.0,0,2214
capacity,GENONLY,2,16,4,1.73441024,9.0,32,0.9375,0.17296875,0,0.0,0,0.0,2214,0
capacity,GENONLY_EF,2,16,4,1.756283235658466,9.0,32,0.9375,0.16253889290882778,0,0.0,0,0.0,2214,0
capacity,PROSE,2,16,5,2.097152,9.0,32,0.9375,0.0,0,0.0,0,0.0,0,2253
capacity,GENONLY,2,16,5,1.72802048,9.0,32,0.9375,0.176015625,0,0.0,0,0.0,2253,0
capacity,GENONLY_EF,2,16,5,1.7502787723299567,9.0,32,0.9375,0.1654020441389291,0,0.0,0,0.0,2253,0
capacity,PROSE,2,16,6,2.097152,9.0,32,0.9375,0.0,0,0.0,0,0.0,0,2276
capacity,GENONLY,2,16,6,1.72425216,9.0,32,0.9375,0.1778125,0,0.0,0,0.0,2276,0
capacity,GENONLY_EF,2,16,6,1.7467376785721176,9.0,32,0.9375,0.1670905692233478,0,0.0,0,0.0,2276,0
capacity,PROSE,2,16,7,2.097152,9.0,32,0.9375,0.0,0,0.0,0,0.0,0,2310
capacity,GENONLY,2,16,7,1.7186816,9.0,32,0.9375,0.18046875,0,0.0,0,0.0,2310,0
capacity,GENONLY_EF,2,16,7,1.7415030182344429,9.0,32,0.9375,0.1695866497829233,0,0.0,0,0.0,2310,0
capacity,PROSE,2,16,8,2.097152,9.0,32,0.9375,0.0,0,0.0,0,0.0,0,2212
capacity,GENONLY,2,16,8,1.73473792,9.0,32,0.9375,0.1728125,0,0.0,0,0.0,2212,0
capacity,GENONLY_EF,2,16,8,1.7565911568548,9.0,32,0.9375,0.16239206464061745,0,0.0,0,0.0,2212,0
capacity,PROSE,2,16,9,2.097152,9.0,32,0.9375,0.0,0,0.0,0,0.0,0,2261
capacity,GENONLY,2,16,9,1.72670976,9.0,32,0.9375,0.176640625,0,0.0,0,0.0,2261,0
capacity,GENONLY_EF,2,16,9,1.7490470875446211,9.0,32,0.9375,0.16598935721177038,0,0.0,0,0.0,2261,0
capacity,PROSE,4,16,0,2.097152,9.0,32,0.9375,0.0,0,0.0,0,0.0,0,2243
capacity,GENONLY,4,16,0,1.72965888,9.0,32,0.9375,0.175234375,0,0.0,0,0.0,2243,0
capacity,GENONLY_EF,4,16,0,1.7518183783116257,9.0,32,0.9375,0.1646679027978775,0,0.0,0,0.0,2243,0
capacity,PROSE,4,16,1,2.097152,9.0,32,0.9375,0.0,0,0.0,0,0.0,0,2315
capacity,GENONLY,4,16,1,1.7178624,9.0,32,0.9375,0.180859375,0,0.0,0,0.0,2315,0
capacity,GENONLY_EF,4,16,1,1.7407332152436084,9.0,32,0.9375,0.16995372045344911,0,0.0,0,0.0,2315,0
capacity,PROSE,4,16,2,2.097152,9.0,32,0.9375,0.0,0,0.0,0,0.0,0,2227
capacity,GENONLY,4,16,2,1.73228032,9.0,32,0.9375,0.173984375,0,0.0,0,0.0,2227,0
capacity,GENONLY_EF,4,16,2,1.754281747882296,9.0,32,0.9375,0.16349327665219487,0,0.0,0,0.0,2227,0
capacity,PROSE,4,16,3,2.097152,9.0,32,0.9375,0.0,0,0.0,0,0.0,0,2227
capacity,GENONLY,4,16,3,1.73228032,9.0,32,0.9375,0.173984375,0,0.0,0,0.0,2227,0
capacity,GENONLY_EF,4,16,3,1.754281747882296,9.0,32,0.9375,0.16349327665219487,0,0.0,0,0.0,2227,0
capacity,PROSE,4,16,4,2.097152,9.0,32,0.9375,0.0,0,0.0,0,0.0,0,2194
capacity,GENONLY,4,16,4,1.73768704,9.0,32,0.9375,0.17140625,0,0.0,0,0.0,2194,0
capacity,GENONLY_EF,4,16,4,1.7593624476218042,9.0,32,0.9375,0.16107061022672453,0,0.0,0,0.0,2194,0
capacity,PROSE,4,16,5,2.097152,9.0,32,0.9375,0.0,0,0.0,0,0.0,0,2212
capacity,GENONLY,4,16,5,1.73473792,9.0,32,0.9375,0.1728125,0,0.0,0,0.0,2212,0
capacity,GENONLY_EF,4,16,5,1.7565911568548,9.0,32,0.9375,0.16239206464061745,0,0.0,0,0.0,2212,0
capacity,PROSE,4,16,6,2.097152,9.0,32,0.9375,0.0,0,0.0,0,0.0,0,2246
capacity,GENONLY,4,16,6,1.72916736,9.0,32,0.9375,0.17546875,0,0.0,0,0.0,2246,0
capacity,GENONLY_EF,4,16,6,1.7513564965171247,9.0,32,0.9375,0.16488814520019296,0,0.0,0,0.0,2246,0
capacity,PROSE,4,16,7,2.097152,9.0,32,0.9375,0.0,0,0.0,0,0.0,0,2213
capacity,GENONLY,4,16,7,1.73457408,9.0,32,0.9375,0.172890625,0,0.0,0,0.0,2213,0
capacity,GENONLY_EF,4,16,7,1.7564371962566327,9.0,32,0.9375,0.16246547877472264,0,0.0,0,0.0,2213,0
capacity,PROSE,4,16,8,2.097152,9.0,32,0.9375,0.0,0,0.0,0,0.0,0,2285
capacity,GENONLY,4,16,8,1.7227776,9.0,32,0.9375,0.178515625,0,0.0,0,0.0,2285,0
capacity,GENONLY_EF,4,16,8,1.7453520331886154,9.0,32,0.9375,0.16775129643029427,0,0.0,0,0.0,2285,0
capacity,PROSE,4,16,9,2.097152,9.0,32,0.9375,0.0,0,0.0,0,0.0,0,2251
capacity,GENONLY,4,16,9,1.72834816,9.0,32,0.9375,0.175859375,0,0.0,0,0.0,2251,0
capacity,GENONLY_EF,4,16,9,1.7505866935262904,9.0,32,0.9375,0.16525521587071876,0,0.0,0,0.0,2251,0
capacity,PROSE,8,16,0,2.097152,9.0,32,0.9375,0.0,0,0.0,0,0.0,0,2302
capacity,GENONLY,8,16,0,1.71999232,9.0,32,0.9375,0.17984375,0,0.0,0,0.0,2302,0
