method,segment_bytes,normalized_throughput_gmean,normalized_throughput_ci_low,normalized_throughput_ci_high,stale_mib_per_gib,stale_ci_low,stale_ci_high,extra_rtt,pin_span_ratio_median,pin_span_ratio_p95,control_header_overhead_pct,queue_reclaim,rpe_events,num_runs
NoCheck,0,1.0,1.0,1.0,104.08162022569445,78.76129759395336,143.5867274780273,0,0.0,0.0,0.09765625,Y,8061,30
SharedRef,0,1.1854338063541359,1.1210946554831682,1.2565376607097596,0.0,0.0,0.0,1,2.955591473190201,31.789555785920587,0.146484375,N,0,30
TwoPhase,0,1.185233726045743,1.1208050700426786,1.2548532880577434,0.0,0.0,0.0,1,2.778943650589683,31.79064643722886,0.1953125,N,0,30
GenOnly,0,1.00330281011256,1.0014807892979096,1.0054035136163633,54.61673133680556,41.04227304169626,75.98220158265129,0,0.0,0.0,0.10261302939202008,Y,5582,30
RDMAKey,0,1.00330281011256,1.0014714346615097,1.0053836558700817,54.61673133680556,41.09097889062977,75.74155238405258,0,0.0,0.0,0.10261302939202008,Y,5582,30
Segmented-64,64,0.9936850984812585,0.9878038533204925,0.9989934269071693,0.03806467013888889,0.022402349815605592,0.06193444402500583,0,0.0,0.0,37.60870079839528,Y,5582,30
Segmented-256,256,1.0034969881612121,1.0014503344953336,1.0058335547766077,0.1553980034722222,0.09246941179800724,0.25420501492864767,0,0.0,0.0,9.48368693621671,Y,5582,30
Segmented-4096,4096,1.003908811316158,1.001899863422118,1.0062569449255112,2.4638424479166665,1.4705891666249333,4.000614251030816,0,0.0,0.0,0.6943524256032688,Y,5582,30
Segmented-16384,16384,1.003869762770853,1.0019063095439569,1.0060950762270142,9.930509114583334,5.933053781891606,16.324904337565098,0,0.0,0.0,0.25402873107219337,Y,5582,30
PROSE,0,1.1051917751885045,1.067930261490704,1.1453568715993179,0.0,0.0,0.0,0,1.0,1.0,0.10261302939202008,Y,0,30
